,coordL,coordW,isLight,isDry,isClear,isCloudy,is_pedestrian,is_adjustable
0,37.464817,55.758116,0,1,0,1,0,0
1,37.388953,55.811338,1,1,1,0,0,0
2,37.623153,55.866787,1,1,0,1,1,0
3,37.588413,55.660576,0,0,0,1,1,1
4,37.636467,55.805098,0,1,1,0,1,0
5,37.841678,55.76883,1,0,0,1,0,1
6,37.200061,55.999713,0,0,0,1,1,0
7,37.566183,55.670833,1,0,0,1,1,0
8,37.532365,55.606172,1,0,0,1,0,1
9,37.276204,55.679726,0,0,0,0,1,1
10,37.453927,55.874564,1,0,0,1,0,1
11,37.562631,55.859087,0,0,0,1,1,0
12,37.658923,55.801818,0,0,0,1,1,0
13,37.740322,55.66857,0,0,0,1,1,1
14,37.371325,55.787222,0,0,0,1,0,0
15,37.681968,55.581638,0,0,0,0,0,0
16,37.691839,55.755339,0,0,0,1,0,0
17,37.679983,55.853288,0,1,0,1,0,0
18,37.329612,55.607215,0,0,0,1,0,0
19,37.181017,55.38807,1,0,0,1,0,0
20,37.641671,55.821664,0,0,0,1,0,1
21,37.495018,55.89133,0,0,0,1,0,0
22,37.72763,55.621466,0,1,0,1,1,1
23,37.545948,55.700348,1,1,0,1,0,1
24,37.896491,55.708521,0,0,0,1,1,1
25,37.820349,55.833686,1,1,0,0,0,0
26,37.45074,55.850511,0,0,0,1,0,0
27,37.668128,55.706974,0,0,0,1,1,0
28,37.568876,55.492215,0,0,0,1,0,0
29,37.390573,55.708406,0,0,0,1,0,0
30,37.562685,55.677754,0,0,0,1,0,1
31,37.673997,55.572376,0,0,0,1,0,0
32,37.597489,55.586337,0,0,0,1,0,0
33,37.781532,55.812652,0,0,0,1,1,0
34,37.536678,55.890493,0,1,0,1,1,0
35,37.635555,55.800292,0,1,1,0,0,1
36,37.663107,55.594965,0,1,0,1,1,1
37,37.669555,55.604015,1,0,0,1,1,1
38,37.61148,55.575009,0,0,0,1,0,0
39,37.82493,55.82443,0,0,0,1,0,0
40,37.631371,55.740967,1,0,0,1,0,0
41,37.525209,55.535024,0,0,0,1,1,0
42,37.40908,55.868985,0,0,0,1,0,1
43,37.460107,55.817252,1,0,0,1,0,1
44,37.556291,55.895757,0,0,0,1,0,0
45,37.813053,55.701345,0,1,0,1,1,0
46,37.585484,55.546182,0,1,1,0,0,0
47,37.584776,55.752665,0,1,1,0,0,0
48,37.769129,55.710032,0,1,0,1,1,1
49,37.754023,55.688532,0,1,0,1,0,0
50,37.729207,55.59157,0,1,0,1,0,0
51,37.432255,55.849319,0,0,0,1,0,0
52,37.863479,55.712015,0,1,0,1,1,0
53,37.833492,55.826407,0,1,0,1,0,0
54,37.408372,55.660061,1,0,0,1,0,0
55,37.622048,55.711289,0,1,0,1,1,1
56,37.562935,55.868142,0,0,0,1,1,1
57,37.546463,55.748758,0,0,0,1,0,0
58,37.415636,55.857732,0,0,0,1,0,0
59,37.64858,55.759897,1,1,0,1,0,0
60,37.663997,55.717617,1,0,0,1,1,1
61,37.645147,55.851481,0,0,0,1,0,0
62,37.619419,55.650159,1,1,0,1,0,0
63,37.68877,55.884248,1,1,0,1,1,0
64,37.599775,55.59097,0,0,0,1,0,0
65,37.621865,55.767732,0,0,0,1,1,0
66,37.62282,55.685672,0,0,0,1,0,0
67,37.15559,55.967026,0,0,0,1,0,0
68,37.642872,55.711628,0,0,0,1,0,0
